issue_id,title_id,title_name,shortered title,number_actual,number_printed,start_date,end_date,start_page_number,bibliographical_details,notes
1,1,The Moderate Intelligencer,ModInt,1,,2/27/1645 0:00:00,3/6/1645 00:00:00,1,Thomason / 45:E.271[15],
2,1,The Moderate Intelligencer,,2,,3/6/1645 00:00:00,3/13/1645 0:00:00,9,Thomason / 45:E.273[7],
3,1,The Moderate Intelligencer,,3,,3/13/1645 0:00:00,3/20/1645 0:00:00,17,,
4,1,The Moderate Intelligencer,,4,,3/20/1645 0:00:00,3/27/1645 0:00:00,25,,
5,1,The Moderate Intelligencer,,5,,3/27/1645 0:00:00,4/3/1645 00:00:00,33,,
6,1,The Moderate Intelligencer,,6,,4/3/1645 00:00:00,4/10/1645 00:00:00,41,,1st issue with more organised foreign news
7,1,The Moderate Intelligencer,,7,,4/10/1645 00:00:00,4/17/1645 0:00:00,0,,
8,1,The Moderate Intelligencer,,8,,4/17/1645 0:00:00,4/24/1645 0:00:00,0,,Lack of news at beginning - almost straight into foreign news. P. 59 missing
9,1,The Moderate Intelligencer,,9,,4/24/1645 0:00:00,5/1/1645 00:00:00,65,,Taken from EEBO as more readable. Two articles quoted verbatim (one Oath and the response)
10,1,The Moderate Intelligencer,,10,,5/1/1645 00:00:00,5/8/1645 00:00:00,73,,
11,1,The Moderate Intelligencer,,11,,5/8/1645 00:00:00,5/15/1645 0:00:00,81,,
12,1,The Moderate Intelligencer,,12,,5/15/1645 0:00:00,5/22/1645 0:00:00,89,,
13,1,The Moderate Intelligencer,,13,,5/22/1645 0:00:00,5/29/1645 0:00:00,97,,
14,1,The Moderate Intelligencer,,14,,5/29/1645 0:00:00,6/5/1645 00:00:00,105,,More opinion than usual
15,1,The Moderate Intelligencer,,15,,6/5/1645 00:00:00,6/12/1645 00:00:00,113,,
16,1,The Moderate Intelligencer,,16,,6/12/1645 00:00:00,6/19/1645 0:00:00,121,,Loads of opinion - worthy a reread. Letter from Catholic in England to counterpart in Ireland
17,1,The Moderate Intelligencer,,17,,6/19/1645 0:00:00,6/26/1645 0:00:00,129,,Saturday and Monday incorrectly dated
18,1,The Moderate Intelligencer,,18,,6/26/1645 0:00:00,7/3/1645 00:00:00,137,,
19,1,The Moderate Intelligencer,,19,,7/3/1645 00:00:00,7/10/1645 00:00:00,145,,Slowly starting to get more organised/consistent with paragraphs. NB - good information about source of news!
20,1,The Moderate Intelligencer,,20,,7/10/1645 00:00:00,7/17/1645 0:00:00,153,,
21,1,The Moderate Intelligencer,,21,,7/17/1645 0:00:00,7/24/1645 0:00:00,161,,
22,1,The Moderate Intelligencer,,22,,7/24/1645 0:00:00,7/31/1645 0:00:00,169,,
23,1,The Moderate Intelligencer,,23,,7/31/1645 0:00:00,8/7/1645 00:00:00,177,,Paging is wrong - 182 and 183 reversed
24,1,The Moderate Intelligencer,,24,,8/7/1645 00:00:00,8/14/1645 0:00:00,185,,1st page difficult to read - date looks like Thursday 15th (or 13th) but I think it's actually 14th.
25,1,The Moderate Intelligencer,,25,,8/14/1645 0:00:00,8/21/1645 0:00:00,193,,Rare Sunday news
26,1,The Moderate Intelligencer,,26,,8/21/1645 0:00:00,8/28/1645 0:00:00,201,,No news on Tuesday
27,1,The Moderate Intelligencer,,27,,8/28/1645 0:00:00,9/4/1645 00:00:00,209,,Nothing under Tuesday again
28,1,The Moderate Intelligencer,,28,,9/4/1645 00:00:00,9/11/1645 00:00:00,217,,Continuing increased level of sophistication of foreign news
29,1,The Moderate Intelligencer,,29,,9/11/1645 00:00:00,9/18/1645 0:00:00,225,,Information on couriers from Paris
30,1,The Moderate Intelligencer,,30,,9/18/1645 0:00:00,9/25/1645 0:00:00,233,,
31,1,The Moderate Intelligencer,,31,,9/25/1645 0:00:00,10/2/1645 00:00:00,241,,Says 141 instead of 241 on title page
32,1,The Moderate Intelligencer,,32,,10/2/1645 00:00:00,10/9/1645 00:00:00,249,,1st page hard to read - again they've printed 149 instead of 249
33,1,The Moderate Intelligencer,,33,,10/9/1645 00:00:00,10/16/1645 0:00:00,257,,Same numbering issue
34,1,The Moderate Intelligencer,,34,,10/16/1645 0:00:00,10/23/1645 0:00:00,265,,Same numbering issue. Almost no foreign news - no explanation
35,1,The Moderate Intelligencer,,35,,10/23/1645 0:00:00,10/30/1645 0:00:00,0,,"2nd page ""but to come to news of war"
36,1,The Moderate Intelligencer,,36,,10/30/1645 0:00:00,11/6/1645 00:00:00,281,,Numbering issue - will not mention unless it changes below.
37,1,The Moderate Intelligencer,,37,,11/6/1645 00:00:00,11/13/1645 0:00:00,289,,
38,1,The Moderate Intelligencer,,38,,11/13/1645 0:00:00,11/20/1645 0:00:00,297,,Almost no foreign news - one story from Paris. No explanation
39,1,The Moderate Intelligencer,,39,38,11/20/1645 0:00:00,11/27/1645 0:00:00,305,,Some slight difference? Also repeated number 38. Typset
40,1,The Moderate Intelligencer,,40,39,11/27/1645 0:00:00,12/4/1645 00:00:00,305,,Numbering error again - they've numbered the 1st page 205 for 2nd week in a row. Some foreign news that affects England
41,1,The Moderate Intelligencer,,41,40,12/4/1645 00:00:00,12/11/1645 00:00:00,213,,Numbering by printed numbers from now on….
42,1,The Moderate Intelligencer,,42,41,12/11/1645 00:00:00,12/18/1645 0:00:00,221,,
43,1,The Moderate Intelligencer,,43,42,11/18/1645 0:00:00,12/25/1645 0:00:00,229,,Error in pagination. Nice example of value of foreign news
44,1,The Moderate Intelligencer,,44,43,12/25/1645 0:00:00,1/1/1646 00:00:00,239,,
45,1,The Moderate Intelligencer,,45,44,1/1/1646 00:00:00,1/8/1646 00:00:00,247,,
46,1,The Moderate Intelligencer,,46,45,1/8/1646 00:00:00,1/15/1646 0:00:00,255,,Example of foreign news commenting on something at home - soldier's pay
47,1,The Moderate Intelligencer,,47,46,1/15/1646 0:00:00,1/22/1646 0:00:00,263,,
48,1,The Moderate Intelligencer,,48,47,1/22/1646 0:00:00,1/29/1646 0:00:00,271,,
49,1,The Moderate Intelligencer,,49,48,1/29/1646 0:00:00,2/4/1646 00:00:00,279,,Taken from EEBO as missing in Burney collection
50,1,The Moderate Intelligencer,,50,49,2/5/1646 00:00:00,2/12/1646 00:00:00,287,,Opinion piece about how rulers should be educated
51,1,The Moderate Intelligencer,,51,50,2/12/1646 00:00:00,2/18/1646 0:00:00,295,,"Taken from EEBO as missing in Burney collection ""as if all were true that's printed"" nice quote in very last paragraph"
52,1,The Moderate Intelligencer,,52,51,2/19/1646 0:00:00,2/26/1646 0:00:00,303,,New woodcut initial and slightly cleaner typeface - expanded to 12 pages
53,1,The Moderate Intelligencer,,53,52,2/26/1646 0:00:00,3/5/1646 00:00:00,315,,
54,1,The Moderate Intelligencer,,54,53,3/5/1646 00:00:00,3/12/1646 00:00:00,327,,"Last lines ""the burned child fears the fire"" cryptic message about censorship?"
55,1,The Moderate Intelligencer,,55,54,3/12/1646 00:00:00,3/19/1646 0:00:00,339,,Opinion piece about why sticking to army proceedings
56,1,The Moderate Intelligencer,,56,55,3/19/1646 0:00:00,3/26/1646 0:00:00,351,,Slightly difficult to read first page
57,1,The Moderate Intelligencer,,57,56,3/26/1646 0:00:00,4/2/1646 00:00:00,363,,
58,1,The Moderate Intelligencer,,58,57,4/2/1646 00:00:00,4/9/1646 00:00:00,375,,
59,1,The Moderate Intelligencer,,59,58,4/9/1646 00:00:00,4/16/1646 0:00:00,387,,
60,1,The Moderate Intelligencer,,60,59,4/16/1646 0:00:00,4/23/1646 0:00:00,395,,Mention of letters from Amsterdam and what news they contain
61,1,The Moderate Intelligencer,,61,60,4/23/1646 0:00:00,4/30/1646 0:00:00,407,,
62,1,The Moderate Intelligencer,,62,61,4/30/1646 0:00:00,5/7/1646 00:00:00,419,,
63,1,The Moderate Intelligencer,,63,62,5/7/1646 00:00:00,5/14/1646 0:00:00,431,,
64,1,The Moderate Intelligencer,,64,63,5/14/1646 0:00:00,5/21/1646 0:00:00,443,,
65,1,The Moderate Intelligencer,,65,64,5/21/1646 0:00:00,5/28/1646 0:00:00,455,,
66,1,The Moderate Intelligencer,,66,65,5/28/1646 0:00:00,6/4/1646 00:00:00,467,,Nice comparison in preface to foreign politics/religion. Shows importance of Europe?
67,1,The Moderate Intelligencer,,67,66,6/4/1646 00:00:00,6/11/1646 00:00:00,479,,Hardly any foreign news
68,1,The Moderate Intelligencer,,68,67,6/11/1646 00:00:00,6/18/1646 0:00:00,491,,
69,1,The Moderate Intelligencer,,69,68,6/18/1646 0:00:00,6/25/1646 0:00:00,503,,
70,1,The Moderate Intelligencer,,70,69,6/25/1646 0:00:00,7/2/1646 00:00:00,515,,Extra foreign news on last page
71,1,The Moderate Intelligencer,,71,70,7/2/1646 00:00:00,7/9/1646 00:00:00,527,,Taken from EEBO as pages missing from Burney collection. Multiple sources of same story
72,1,The Moderate Intelligencer,,72,71,7/9/1646 00:00:00,7/16/1646 0:00:00,539,,full paper starts on page 19 of 32 (extras in Burney collection)
73,1,The Moderate Intelligencer,,73,72,7/16/1646 0:00:00,7/23/1646 0:00:00,551,,Opinion changing to foreign news based
74,1,The Moderate Intelligencer,,74,73,7/23/1646 0:00:00,7/30/1646 0:00:00,563,,Story from China via East Indies in prologue
75,1,The Moderate Intelligencer,,75,74,7/30/1646 0:00:00,8/6/1646 00:00:00,575,,
76,1,The Moderate Intelligencer,,76,75,8/6/1646 00:00:00,8/13/1646 0:00:00,587,,Starting on page 14 Burney collection. Some dating issues - see individual posts
77,1,The Moderate Intelligencer,,77,76,8/13/1646 0:00:00,8/20/1646 0:00:00,599,,
78,1,The Moderate Intelligencer,,78,77,8/20/1646 0:00:00,8/27/1646 0:00:00,611,,Lacking much foreign news (or news in general) except one long report of siege of Mardike
79,1,The Moderate Intelligencer,,79,78,8/27/1646 0:00:00,9/3/1646 00:00:00,623,,"Mentions role ""what we have done for the army"""
80,1,The Moderate Intelligencer,,80,79,9/3/1646 00:00:00,9/9/1646 00:00:00,635,,Taken from EEBO as missing from Burney collection
81,1,The Moderate Intelligencer,,81,80,9/10/1646 00:00:00,9/17/1646 0:00:00,0,,Announces end of editorials. Alternate news route. See #3111
82,1,The Moderate Intelligencer,,82,81,9/17/1646 0:00:00,9/24/1646 0:00:00,652,,Series of letters about army mistreatment while biletted. Newsbook as judge/jury?
83,1,The Moderate Intelligencer,,83,82,9/24/1646 0:00:00,10/1/1646 00:00:00,663,,
84,1,The Moderate Intelligencer,,84,83,10/1/1646 00:00:00,10/8/1646 00:00:00,675,,No editorial. Story about healing fountain.
85,1,The Moderate Intelligencer,,85,84,10/8/1646 00:00:00,10/15/1646 0:00:00,687,,Starting on p. 17 of Burney
86,1,The Moderate Intelligencer,,86,85,10/15/1646 0:00:00,10/22/1646 0:00:00,699,,
87,1,The Moderate Intelligencer,,87,86,10/22/1646 0:00:00,10/29/1646 0:00:00,711,,
89,1,The Moderate Intelligencer,,88,87,10/29/1646 0:00:00,11/5/1646 00:00:00,723,,You have understood what passed already… speaking directly to the reader
90,1,The Moderate Intelligencer,,89,88,11/5/1646 00:00:00,5/12/1646 00:00:00,735,,Great info in the letters from Venice. Some dating mistakes
91,1,The Moderate Intelligencer,,90,89,11/12/1646 00:00:00,11/19/1646 0:00:00,747,,
92,1,The Moderate Intelligencer,,91,90,11/19/1646 0:00:00,11/26/1646 0:00:00,759,,Corrected dates
93,1,The Moderate Intelligencer,,92,91,11/26/1646 0:00:00,12/3/1646 00:00:00,771,,Some dates corrected. Complaint about difficulty of getting news from dublin
94,1,The Moderate Intelligencer,,93,92,12/3/1646 00:00:00,12/10/1646 00:00:00,783,,
95,1,The Moderate Intelligencer,,94,93,12/10/1646 00:00:00,12/17/1646 0:00:00,795,,Account of siege of Lerida
96,1,The Moderate Intelligencer,,95,94,12/17/1646 0:00:00,12/24/1646 0:00:00,807,,Different editor? Language/spelling different. News direct from Candia to Paris. Also
97,1,The Moderate Intelligencer,,96,95,12/24/1646 0:00:00,12/31/1646 0:00:00,819,,
98,1,The Moderate Intelligencer,,97,96,12/31/1646 0:00:00,1/7/1647 00:00:00,831,,
99,1,The Moderate Intelligencer,,98,97,1/7/1647 00:00:00,1/14/1647 0:00:00,843,,News from Dublin via Paris
100,1,The Moderate Intelligencer,,99,98,1/14/1647 0:00:00,1/21/1647 0:00:00,855,,
101,1,The Moderate Intelligencer,,100,99,1/21/1647 0:00:00,1/28/1647 0:00:00,867,,
102,1,The Moderate Intelligencer,,101,100,1/28/1647 0:00:00,2/4/1647 00:00:00,879,,
103,1,The Moderate Intelligencer,,102,101,2/4/1647 00:00:00,2/11/1647 00:00:00,901,,
104,1,The Moderate Intelligencer,,103,102,2/11/1647 00:00:00,2/18/1647 0:00:00,913,,
105,1,The Moderate Intelligencer,,104,103,2/18/1647 0:00:00,2/25/1647 0:00:00,925,,
106,1,The Moderate Intelligencer,,105,103,2/25/1647 0:00:00,3/4/1647 00:00:00,937,,Two issues written as 103. Rare news direct from Constantinople
107,1,The Moderate Intelligencer,,106,104,3/4/1647 00:00:00,3/11/1647 00:00:00,949,,Possibly two weeks worth of letters reported in some stories
108,1,The Moderate Intelligencer,,107,105,3/11/1647 00:00:00,3/18/1647 0:00:00,961,,until it be confirmed by letters from Candia Last-minute news from the Hague about Prince of Orange death - only took 3/4 days to reach London
109,1,The Moderate Intelligencer,,108,106,3/18/1647 0:00:00,3/25/1647 0:00:00,973,,Domestic news is starting to be written like foreign
110,1,The Moderate Intelligencer,,109,107,3/25/1647 0:00:00,4/1/1647 00:00:00,985,,Good source info in Venice news
111,1,The Moderate Intelligencer,,110,108,4/1/1647 00:00:00,4/8/1647 00:00:00,997,,Narrative/parable from Persia
112,1,The Moderate Intelligencer,,111,109,4/8/1647 00:00:00,4/15/1647 0:00:00,1009,,
113,1,The Moderate Intelligencer,,112,110,4/15/1647 0:00:00,4/22/1647 0:00:00,1021,,Good source info in Venice. No Dutch Post
114,1,The Moderate Intelligencer,,113,111,4/22/1647 0:00:00,4/29/1647 0:00:00,1033,,
115,1,The Moderate Intelligencer,,114,112,4/29/1647 0:00:00,5/6/1647 00:00:00,1045,,
116,1,The Moderate Intelligencer,,115,113,5/6/1647 00:00:00,5/13/1647 0:00:00,1057,,1st story sort of feels like editorial/placing emphasis on story because of importance. Find out where 'Sally
117,1,The Moderate Intelligencer,,116,114,5/13/1647 0:00:00,5/20/1647 0:00:00,1069,,The story of news is a story of motion
118,1,The Moderate Intelligencer,,117,115,5/20/1647 0:00:00,5/27/1647 0:00:00,1081,,Taking of Armentiers from multiple sources
119,1,The Moderate Intelligencer,,118,116,5/27/1647 0:00:00,6/3/1647 00:00:00,1093,,
120,1,The Moderate Intelligencer,,119,117,6/3/1647 00:00:00,6/10/1647 00:00:00,1105,,
121,1,The Moderate Intelligencer,,120,118,6/10/1647 00:00:00,6/17/1647 0:00:00,1117,,
122,1,The Moderate Intelligencer,,121,119,6/17/1647 0:00:00,6/24/1647 0:00:00,1129,,
123,1,The Moderate Intelligencer,,122,120,6/24/1647 0:00:00,7/1/1647 00:00:00,1141,,Corfu-Otranto-Venice
124,1,The Moderate Intelligencer,,123,121,7/1/1647 00:00:00,7/8/1647 00:00:00,1153,,
125,1,The Moderate Intelligencer,,124,122,7/8/1647 00:00:00,7/15/1647 0:00:00,1165,,
126,1,The Moderate Intelligencer,,125,123,7/15/1647 0:00:00,7/22/1647 0:00:00,1177,,
127,1,The Moderate Intelligencer,,126,124,7/22/1647 0:00:00,7/29/1647 0:00:00,1189,,Taken from EEBO as missing from Burney Collection. Poor quality version
128,1,The Moderate Intelligencer,,127,125,8/5/1647 00:00:00,8/12/1647 00:00:00,1201,,No issue from 29th - 05 August
129,1,The Moderate Intelligencer,,128,126,8/12/1647 00:00:00,8/19/1647 0:00:00,1213,,Paid messenger for news - value of news? Neapolitan insurrection - what effect will this have on the Network?
130,1,The Moderate Intelligencer,,129,127,8/19/1647 0:00:00,8/26/1647 0:00:00,1225,,
131,1,The Moderate Intelligencer,,130,128,8/26/1647 0:00:00,9/2/1647 00:00:00,1237,,
132,1,The Moderate Intelligencer,,131,129,9/2/1647 00:00:00,9/9/1647 00:00:00,1249,,
133,1,The Moderate Intelligencer,,132,130,9/9/1647 00:00:00,9/16/1647 0:00:00,1261,,
134,1,The Moderate Intelligencer,,133,131,9/16/1647 0:00:00,9/23/1647 0:00:00,1273,,
135,1,The Moderate Intelligencer,,134,132,9/23/1647 0:00:00,9/30/1647 0:00:00,1285,,News reported on ontroversial political topic - last paragraph
136,1,The Moderate Intelligencer,,135,133,9/30/1647 0:00:00,10/7/1647 00:00:00,1297,,No page number on title page
137,1,The Moderate Intelligencer,,136,134,10/7/1647 00:00:00,10/14/1647 0:00:00,1309,,"Printed as September and corrected in manuscript in original ""Imprimatur: G.M"" first Gilbert Mabbot issue?"
138,1,The Moderate Intelligencer,,137,135,10/14/1647 0:00:00,10/22/1647 0:00:00,1321,,Koln - The Hague - Osnabruck
139,1,The Moderate Intelligencer,,138,136,10/21/1647 0:00:00,10/28/1647 0:00:00,1333,,2 weeks of some foreign news (French post)
140,1,The Moderate Intelligencer,,139,137,10/28/1647 0:00:00,11/4/1647 00:00:00,1345,,
141,1,The Moderate Intelligencer,,140,138,11/4/1647 00:00:00,11/11/1647 00:00:00,1357,,
142,1,The Moderate Intelligencer,,141,139,11/11/1647 00:00:00,11/18/1647 0:00:00,1369,,News from Naples sent from Gaetta - Naples gates are closed. News from Naples via Paris
143,1,The Moderate Intelligencer,,142,140,11/18/1647 0:00:00,11/25/1647 0:00:00,1381,,Almost no foreign news very extended account of life of French general. Only 8 pages
144,1,The Moderate Intelligencer,,143,141,11/25/1647 0:00:00,12/2/1647 00:00:00,1389,,
145,1,The Moderate Intelligencer,,144,142,12/2/1647 00:00:00,12/9/1647 00:00:00,1041,,
146,1,The Moderate Intelligencer,,145,143,12/9/1647 00:00:00,12/16/1647 0:00:00,1053,,Page number corrected to 1413? News from Naples via Rome/Genoa
147,1,The Moderate Intelligencer,,146,144,12/16/1647 0:00:00,12/23/1647 0:00:00,1065,,
148,1,The Moderate Intelligencer,,147,145,12/23/1647 0:00:00,12/30/1647 0:00:00,1077,,
149,1,The Moderate Intelligencer,,148,146,12/30/1647 0:00:00,1/6/1648 00:00:00,1089,,
150,1,The Moderate Intelligencer,,149,147,1/6/1648 00:00:00,1/13/1648 0:00:00,1101,,
151,1,The Moderate Intelligencer,,150,148,1/13/1648 0:00:00,1/20/1648 0:00:00,1113,,
152,1,The Moderate Intelligencer,,151,149,1/20/1648 0:00:00,1/27/1648 0:00:00,1125,,News from Naples via paris via specific person
153,1,The Moderate Intelligencer,,152,150,1/27/1648 0:00:00,2/3/1648 00:00:00,1137,,
154,1,The Moderate Intelligencer,,153,151,2/3/1648 00:00:00,2/10/1648 00:00:00,1149,,
155,1,The Moderate Intelligencer,,154,152,2/10/1648 00:00:00,2/17/1648 0:00:00,1161,,Letter directly from Constantinople
156,1,The Moderate Intelligencer,,155,153,2/17/1648 0:00:00,2/24/1648 0:00:00,1173,,
157,1,The Moderate Intelligencer,,156,154,2/24/1648 0:00:00,3/2/1648 00:00:00,1185,,Letter from Leiden with news from Scotland
158,1,The Moderate Intelligencer,,157,155,3/2/1648 00:00:00,3/9/1648 00:00:00,1197,,News travelling from Palermo to Ambassador of Spain
159,1,The Moderate Intelligencer,,158,156,3/9/1648 00:00:00,3/16/1648 0:00:00,1209,,Missing from Burney Collection
160,1,The Moderate Intelligencer,,159,157,3/16/1648 0:00:00,3/23/1648 0:00:00,1221,,News is travelling Naples-Ligorno-Marseille. From Spain via Marseilles
161,1,The Moderate Intelligencer,,160,158,3/23/1648 0:00:00,3/30/1648 0:00:00,1233,,
162,1,The Moderate Intelligencer,,161,159,3/30/1648 0:00:00,4/6/1648 00:00:00,1245,,
163,1,The Moderate Intelligencer,,162,160,4/6/1648 00:00:00,4/13/1648 0:00:00,1257,,News from Tripoli
164,1,The Moderate Intelligencer,,163,161,4/13/1648 0:00:00,4/20/1648 0:00:00,1269,,
165,1,The Moderate Intelligencer,,164,162,4/20/1648 0:00:00,4/27/1648 0:00:00,1281,,
166,1,The Moderate Intelligencer,,165,163,4/27/1648 0:00:00,5/4/1648 00:00:00,1293,,
167,1,The Moderate Intelligencer,,166,164,5/4/1648 00:00:00,5/11/1648 00:00:00,1305,,
168,1,The Moderate Intelligencer,,167,165,5/11/1648 00:00:00,5/18/1648 0:00:00,1317,,Taken from EEBO as higher quality copy
169,1,The Moderate Intelligencer,,168,166,5/18/1648 0:00:00,5/25/1648 0:00:00,1349,,Slightly lower tone? Trivial story about a duel?
170,1,The Moderate Intelligencer,,169,167,5/25/1648 0:00:00,6/1/1648 00:00:00,1361,,
171,1,The Moderate Intelligencer,,170,168,6/1/1648 00:00:00,6/8/1648 00:00:00,1373,,Hamburg - movement
172,1,The Moderate Intelligencer,,171,169,6/8/1648 00:00:00,6/15/1648 0:00:00,1385,,Letters Ireland-London
173,1,The Moderate Intelligencer,,172,170,6/15/1648 0:00:00,6/22/1648 0:00:00,1397,,Offers itself into your view - neutral language
174,1,The Moderate Intelligencer,,173,171,6/22/1648 0:00:00,6/29/1648 0:00:00,1409,,It's possible that you at London differences vs regions? How long news takes to get from Edinburgh compared to The Hague for example? First issue of the 'Moderate' this week. Only using Moderate Intelligencer. Taken from EEBO as some confusion of pages on Burney
175,1,The Moderate Intelligencer,,174,172,6/29/1648 0:00:00,7/6/1648 00:00:00,1421,,Proscribed with notice of change of Printer
176,1,The Moderate Intelligencer,,175,173,7/6/1648 00:00:00,7/13/1648 0:00:00,1433,,Two reports from Naples again. News from Naples via Rome as well. The Hague as entrepot for news. News Athlone via Dublin
177,1,The Moderate Intelligencer,,176,174,7/13/1648 0:00:00,7/20/1648 0:00:00,1445,,
178,1,The Moderate Intelligencer,,177,175,7/20/1648 0:00:00,7/27/1648 0:00:00,1457,,
179,1,The Moderate Intelligencer,,178,176,7/27/1648 0:00:00,8/3/1648 00:00:00,1469,,
180,1,The Moderate Intelligencer,,179,177,8/3/1648 00:00:00,8/10/1648 00:00:00,1473,,Starts with short opinion. Day of humiliation for weather? Almost no foreign news
181,1,The Moderate Intelligencer,,180,178,8/10/1648 00:00:00,8/17/1648 0:00:00,1485,,Change of news format
